,allow_pets,built_year,condition,deposit,number_of_rooms,postal_code,rent,total_size,type
164,ei sallittu,1957,tyydyttävä,2 kk,Kaksio,00350,950 €/kk,"49,8 m²",kerrostalo
165,ei sallittu,1957,tyydyttävä,1590 €,4 huonetta,11130,795 €/kk,98 m²,kerrostalo
166,ei tiedossa,1957,hyvä,1590 €,3 huonetta,65100,800 €/kk,70 m²,kerrostalo
167,ei tiedossa,1925,hyvä,3900.00,3 huonetta,00100,1 950 €/kk,106 m²,kerrostalo
168,ei sallittu,1957,hyvä,1380,Kaksio,11100,690 €/kk,43 m²,kerrostalo
169,ei sallittu,2017,hyvä,1190.00,Kaksio,60510,595 €/kk,45 m²,rivitalo
170,ei sallittu,1939,hyvä,2000.00,Kaksio,00250,1 000 €/kk,39 m²,kerrostalo
171,ei sallittu,1939,hyvä,480 €,Yksiö,53100,480 €/kk,31 m²,kerrostalo
172,ei sallittu,1939,hyvä,1kk+hlö tai 2kk,Yksiö,28660,440 €/kk,36 m²,rivitalo
173,ei sallittu,1989,hyvä,688,3 huonetta,96440,688 €/kk,"76,5 m²",rivitalo
174,ei sallittu,1992,hyvä,"570,00 e",Kaksio,40520,570 €/kk,"54,5 m²",kerrostalo
175,ei sallittu,2013,hyvä,"690,00 e +laaja kotivakuutus",Kaksio,80220,690 €/kk,41 m²,kerrostalo
176,ei sallittu,2009,hyvä,250 €,Kaksio,70100,910 €/kk,"57,5 m²",kerrostalo
177,ei sallittu,1997,hyvä,250 €,4 huonetta,00340,2 873 €/kk,126 m²,rivitalo
178,ei sallittu,2010,hyvä,620€,Kaksio,95400,620 €/kk,"44,5 m²",kerrostalo
179,ei sallittu,2010,hyvä,0,Kaksio,05820,625 €/kk,46 m²,kerrostalo
180,ei sallittu,1899,hyvä,0,Kaksio,00240,1 250 €/kk,"72,5 m²",kerrostalo
181,ei sallittu,1989,hyvä,0,Kaksio,01620,899 €/kk,53 m²,kerrostalo
