,POSTI_ALUE,built_year,pricePerSquare,rentValue,sizeValue
0,00100,1934.108695652174,24.122699966844028,1526.8352173913042,67.03152173913043
1,00120,1966.15,14.695804237197057,692.25,40.160000000000004
2,00130,1934.8333333333333,23.513603592468996,1894.1666666666667,83.58333333333333
3,00140,1944.5,25.661653420194273,1816.9375,75.94375
4,00150,1940.3157894736842,26.525802690657144,1441.0526315789473,55.357894736842105
5,00160,1983.0,28.073031629922546,1564.0689655172414,57.393103448275866
6,00170,1924.4,24.104829192742937,1433.8,62.94666666666667
7,00180,1953.7123287671234,26.144764135502413,1441.1113698630138,57.52054794520548
8,00200,1963.642857142857,21.424723039894218,1371.7857142857142,66.78571428571429
9,00210,2001.5454545454545,25.07086861357818,1201.2890909090909,52.63636363636363
10,00220,2016.05,26.492059193441584,1226.184,47.875
11,00240,1980.875,19.54468025207304,1123.74,59.5625
12,00250,1944.741935483871,25.95834017971025,1154.6451612903227,48.25806451612903
13,00260,1949.75,23.899290550430507,2077.5,81.725
14,00270,1942.2857142857142,25.124706730920817,1187.142857142857,48.785714285714285
15,00280,1967.0,25.9147465437788,1021.0,40.0
16,00300,1986.3636363636363,21.386371155783102,1145.2727272727273,54.95454545454545
17,00310,1993.0,20.96385542168675,870.0,41.5
18,00320,1971.7272727272727,21.164072717005986,884.0909090909091,44.09090909090909
19,00330,1960.2631578947369,21.548920313609155,1200.5263157894738,59.20526315789474
20,00340,1989.8333333333333,19.348891982176102,2815.6666666666665,152.43333333333334
21,00350,1966.5416666666667,22.75311317255714,1072.3333333333333,49.949999999999996
22,00360,1959.2,19.674600929723177,1125.0,58.1
23,00370,1984.2619047619048,19.22182644672129,988.5,53.595238095238095
24,00380,2011.1666666666667,21.980500830647163,1192.0555555555557,57.69444444444444
25,00390,2005.3157894736842,18.624226970102125,1099.2747368421053,59.73684210526316
26,00400,1968.2727272727273,20.53768405364213,965.4545454545455,47.75454545454545
27,00410,1997.3684210526317,17.06346427880261,966.2763157894736,57.526315789473685
28,00420,1986.142857142857,17.553987533243134,1061.3057142857144,62.92857142857143
29,00430,2011.0,17.060963108990737,1062.219285714286,64.46428571428571
30,00440,1981.3333333333333,20.594831872142795,788.0,38.666666666666664
31,00500,1944.3478260869565,28.404272389383863,996.3913043478261,39.71565217391304
32,00510,1977.625,21.44767436267583,1000.375,49.0875
33,00520,1986.625,23.66493671574696,1114.875,50.0
34,00530,1950.8260869565217,23.55903609771926,955.695652173913,42.391304347826086
35,00540,2015.0,24.47695019732278,2251.0,92.33333333333333
36,00550,1967.5,25.98214921105581,1045.4675,45.875
37,00560,1975.857142857143,22.11222291345033,1338.4285714285713,61.357142857142854
38,00570,1972.0,24.48495540706165,2058.75,105.0625
39,00580,2013.0,25.936651583710407,1160.0,45.0
40,00590,2016.0,20.009549071618036,1162.0,59.0
41,00620,1995.0,15.5,3100.0,200.0
42,00640,1976.6666666666667,17.67535494618654,919.5,54.916666666666664
43,00650,1984.0,16.48317228518417,943.0,57.3
44,00700,1996.1666666666667,18.123703465803207,1047.1083333333333,58.791666666666664
45,00710,1974.1304347826087,16.671715460751017,994.1739130434783,59.84782608695652
46,00720,1990.625,16.449667705281808,1062.25,64.6875
47,00730,1994.6666666666667,15.606221261482224,1003.6666666666666,66.08333333333333
48,00750,1987.076923076923,16.50168867067868,1032.7461538461537,63.80769230769231
49,00760,1993.5714285714287,16.325255013971937,1290.697142857143,81.21428571428571
50,00770,1993.75,15.439994279729925,1305.625,83.875
51,00780,1990.8,17.672737510718655,1056.0,61.7
52,00790,2007.1,18.685526543879522,1116.575,60.7
53,00810,1997.888888888889,18.76098740635605,1097.2627777777777,60.388888888888886
54,00820,1962.375,16.39391629132788,981.5,60.1
55,00840,1984.5,18.9141568627451,872.185,46.75
56,00850,1995.6,15.04880574129788,1532.6,104.9
57,00870,2016.0,21.75,891.75,41.0
58,00880,2013.0,18.468585649275102,1241.9957142857145,67.35714285714286
59,00890,1995.0,7.53968253968254,2233.3333333333335,301.3333333333333
60,00900,1971.5,19.318889740196422,888.3333333333334,47.53333333333333
61,00910,1987.75,19.03311734102166,1034.6666666666667,55.5
62,00920,1984.7142857142858,19.262675647934994,1006.5714285714286,54.42857142857143
63,00930,1981.2592592592594,16.201910353952144,1812.5555555555557,143.14814814814815
64,00940,1965.7083333333333,19.24279309072303,1055.7816666666668,63.458333333333336
65,00950,2005.25,17.89712117319428,1099.75,62.0
66,00960,1965.125,17.26543726943715,892.0,52.2875
67,00970,1988.4444444444443,18.978542831164575,1002.9988888888888,58.0
68,00980,2003.0222222222221,20.259491394516775,1128.7088888888889,57.855555555555554
69,00990,2013.072463768116,21.37341181986657,1134.5217391304348,54.130434782608695
70,01200,1991.0,14.931496178600185,915.5242424242425,63.10606060606061
71,01230,1957.0,16.73831818810831,745.0,54.05
72,01260,1972.0,7.777777777777778,2800.0,360.0
73,01280,1979.0714285714287,15.152059840624958,1032.2857142857142,68.57142857142857
74,01300,1997.2142857142858,18.089617427990685,1016.2767857142857,58.205357142857146
75,01340,2015.4512195121952,19.540439747794316,919.4634146341464,48.49390243902439
76,01350,1992.972972972973,16.33090244235411,954.8151351351353,59.86486486486486
77,01360,1979.6285714285714,15.376081836165797,895.4062857142858,59.7
78,01370,1990.0625,16.92472958536909,994.393125,59.984375
79,01380,1998.0,15.122176791277258,1535.0,101.5
80,01390,1995.0,13.779527559055119,875.0,63.5
81,01400,2005.75,16.874226951383502,945.6155000000001,60.225
82,01450,1982.2692307692307,15.230181980498308,881.5384615384615,60.63461538461539
