,allow_pets,built_year,condition,deposit,number_of_rooms,postal_code,rent,total_size,type
58,ei sallittu,2002,hyvä,900 €,Yksiö,21530,450 €/kk,39 m²,kerrostalo
59,ei sallittu,1997,hyvä,ei vakuutta,Kaksio,39200,560 €/kk,57 m²,kerrostalo
60,ei tiedossa,1960,hyvä,1380.00,Yksiö,00520,690 €/kk,"25,5 m²",kerrostalo
61,ei sallittu,1975,tyydyttävä,550 €,Kaksio,42700,550 €/kk,"56,5 m²",kerrostalo
62,ei tiedossa,1986,hyvä,550 €,Kaksio,01150,690 €/kk,42 m²,kerrostalo
63,ei sallittu,1991,hyvä,2 kk,Kaksio,00730,720 €/kk,43 m²,kerrostalo
64,ei tiedossa,2004,hyvä,2 kk,Kaksio,02230,1 616 €/kk,44 m²,kerrostalo
65,ei tiedossa,2004,tyydyttävä,2 kk,Yksiö,00270,1 682 €/kk,28 m²,kerrostalo
66,ei tiedossa,1996,tyydyttävä,2 kk,3 huonetta,01300,2 741 €/kk,82 m²,rivitalo
67,ei tiedossa,1970,tyydyttävä,2 kk,Kaksio,02620,1 517 €/kk,45 m²,kerrostalo
68,ei tiedossa,1959,tyydyttävä,2 kk,Yksiö,15110,1 094 €/kk,39 m²,kerrostalo
69,ei tiedossa,1959,tyydyttävä,2 kk,Kaksio,00380,1 013 €/kk,19 m²,kerrostalo
70,ei tiedossa,1972,tyydyttävä,2 kk,Yksiö,02150,765 €/kk,11 m²,erillistalo
71,ei tiedossa,1972,tyydyttävä,2 kk,Yksiö,15110,357 €/kk,21 m²,kerrostalo
72,ei tiedossa,1972,tyydyttävä,2 kk,Yksiö,00380,845 €/kk,8 m²,kerrostalo
73,ei sallittu,1964,hyvä,280 €,Yksiö,42700,280 €/kk,27 m²,kerrostalo
74,ei sallittu,1976,hyvä,695 €,3 huonetta,42700,690 €/kk,"72,5 m²",kerrostalo
75,ei tiedossa,2002,hyvä,"2400,00 ",4 huonetta,08150,1 200 €/kk,"92,5 m²",rivitalo
76,ei sallittu,1990,tyydyttävä,1180.00,Kaksio,21110,590 €/kk,35 m²,rivitalo
77,ei sallittu,1946,hyvä,1400,Kaksio,33230,686 €/kk,36 m²,kerrostalo
78,ei sallittu,1982,hyvä,noin yhden kuukauden vuokra,Kaksio,20610,542 €/kk,"61,5 m²",kerrostalo
79,ei tiedossa,1936,tyydyttävä,1440.00,Yksiö,00180,720 €/kk,30 m²,kerrostalo
80,ei tiedossa,1979,hyvä,1476.00,3 huonetta,15150,738 €/kk,"61,5 m²",kerrostalo
81,ei sallittu,2015,hyvä,1160,Yksiö,33250,580 €/kk,28 m²,luhtitalo
82,ei sallittu,1947,hyvä,1160,Yksiö,33800,580 €/kk,37 m²,kerrostalo
83,ei sallittu,1984,hyvä,1590,Kaksio,33230,795 €/kk,"62,5 m²",kerrostalo
84,ei sallittu,2016,hyvä,1190,Yksiö,70840,595 €/kk,"30,5 m²",luhtitalo
85,ei sallittu,1957,hyvä,2 kuukauden vuokra,Yksiö,15800,450 €/kk,36 m²,kerrostalo
86,ei sallittu,1953,tyydyttävä,350 €,Yksiö,94100,350 €/kk,26 m²,kerrostalo
87,ei sallittu,2002,hyvä,250,Kaksio,90440,615 €/kk,"56,5 m²",rivitalo
