"X","allow_pets","built_year","condition","deposit","number_of_rooms","postal_code","rent","renter","total_size","type"
4500,"ei sallittu",1953,"hyvä","0","3 huonetta",710,"994 €/kk","Kiinteistö Oy M2-Kodit","72,5 m²","kerrostalo"
4501,"ei sallittu",1953,"hyvä","0","Kaksio",410,"897 €/kk","Kiinteistö Oy M2-Kodit","61 m²","luhtitalo"
4509,"ei tiedossa",1997,"hyvä","3380,00 ","5 +",2920,"1 690 €/kk","Asokodit","125,5 m²","omakotitalo"
4515,"ei tiedossa",2000,"hyvä","3020,00 ","4 huonetta",1400,"1 510 €/kk","Asokodit","117 m²","paritalo"
4517,"ei tiedossa",2011,"hyvä","2990,00 ","4 huonetta",2810,"1 495 €/kk","Asokodit","95,5 m²","rivitalo"
4522,"ei tiedossa",1998,"hyvä","2900,00 ","4 huonetta",1380,"1 450 €/kk","Asokodit","96 m²","rivitalo"
4523,"ei tiedossa",1998,"hyvä","2980,00 ","4 huonetta",1300,"1 490 €/kk","Asokodit","95,5 m²","rivitalo"
4527,"ei tiedossa",2000,"hyvä","3940,00 ","4 huonetta",2780,"1 470 €/kk","Asokodit","95 m²","rivitalo"
4528,"ei tiedossa",2016,"hyvä","1960,00 ","Kaksio",1480,"980 €/kk","Asokodit","54 m²","kerrostalo"
4529,"ei tiedossa",2004,"hyvä","2460,00 ","3 huonetta",2780,"1 230 €/kk","Asokodit","73 m²","rivitalo"
4530,"ei tiedossa",1997,"hyvä","2860,00 ","3 huonetta",1300,"1 430 €/kk","Asokodit","81 m²","rivitalo"
4531,"ei tiedossa",1993,"hyvä","2510,00 ","4 huonetta",1450,"1 255 €/kk","Asokodit","100 m²","kerrostalo"
4532,"ei tiedossa",2012,"hyvä","3300,00 ","4 huonetta",700,"1 650 €/kk","Asokodit","90,5 m²","kerrostalo"
4533,"ei tiedossa",2001,"hyvä","3160,00 ","4 huonetta",760,"1 580 €/kk","Asokodit","97 m²","paritalo"
4534,"ei tiedossa",2000,"hyvä","3000,00 ","4 huonetta",2760,"1 500 €/kk","Asokodit","102,5 m²","rivitalo"
4536,"ei tiedossa",1998,"hyvä","3420,00 ","5 +",2770,"1 710 €/kk","Asokodit","128,5 m²","paritalo"
4537,"ei tiedossa",2004,"hyvä","2720,00 ","4 huonetta",2920,"1 360 €/kk","Asokodit","82,5 m²","rivitalo"
4540,"ei sallittu",2015,"hyvä","2060 €","Kaksio",380,"1 030 €/kk","Helsingin Kotijoukkue Oy","44 m²","kerrostalo"
4542,"ei sallittu",1993,"hyvä","1740 €","Kaksio",310,"870 €/kk","RE/MAX Hyvät Kodit | Kiinteistönvälitys Hyvät Kodit Oy LKV","41,5 m²","kerrostalo"
4548,"ei sallittu",1995,"hyvä","250.00","4 huonetta",2770,"1 185 €/kk","Ovenia Oy, Helsinki ( Avara)","86,5 m²","kerrostalo"
4549,"ei sallittu",2008,"hyvä","250","Kaksio",790,"970 €/kk","Ovenia Oy, Helsinki ( Avara)","57 m²","kerrostalo"
4555,"ei sallittu",2017,"hyvä","1600 €","3 huonetta",2750,"1 040 €/kk","Asuntoverstas Oy","68,5 m²","kerrostalo"
4557,"ei sallittu",2012,"hyvä","henkilötakaus 2 kpl","Kaksio",990,"1 024 €/kk","Uusi koti Uutelan tuntumasta!","45,5 m²","kerrostalo"
4581,"ei sallittu",2009,"hyvä","250 €","3 huonetta",420,"1035,28 €/kk","Lumo-kotikeskus PKS","67,5 m²","kerrostalo"
4584,"ei sallittu",2017,"hyvä","2kk:n vuokran suuruinen","3 huonetta",410,"1 060 €/kk","Kiinteistötahkola Helsinki","65 m²","kerrostalo"
4589,"ei tiedossa",1959,"hyvä","1700 ","Kaksio",320,"850 €/kk","Kiinteistömaailma | Hki-Länsi, Munkkiniemi, Amuletti Asunnot Oy","44 m²","kerrostalo"
4596,"ei sallittu",1988,"hyvä","250 €","Kaksio",700,"971 €/kk","Lumo-kotikeskus PKS","53,5 m²","kerrostalo"
4598,"ei sallittu",1916,"hyvä","1900.00","3 huonetta",100,"2 429 €/kk","Uniikki kaupunkikoti!","111 m²","kerrostalo"
4599,"ei sallittu",1965,"hyvä","1900.00","Kaksio",2620,"879 €/kk","SATO Vuokraus / Helsinki","59 m²","kerrostalo"
4600,"ei sallittu",1939,"hyvä","1900.00","Yksiö",530,"938 €/kk","SATO Vuokraus / Helsinki","39 m²","kerrostalo"
4601,"ei sallittu",1987,"hyvä","2 kk:n vuokra","Kaksio",930,"950 €/kk","Realia Asuntovuokraus Pääkaupunkiseutu, Yksityisomistajien vuokra-asunnot","46 m²","kerrostalo"
4603,"ei sallittu",2012,"hyvä","1kk/350€","Kaksio",1350,"925 €/kk","Realia Asuntovuokraus Pääkaupunkiseutu, Suuromistajien vuokra-asunnot","56 m²","kerrostalo"
4606,"ei sallittu",1972,"hyvä","872","Kaksio",1620,"872 €/kk","Ovenia Oy","52,5 m²","kerrostalo"
4611,"ei sallittu",2013,"hyvä","250","Kaksio",380,"1 149 €/kk","","46,5 m²","kerrostalo"
4614,"ei sallittu",1987,"hyvä","2 kk:n vuokra","Kaksio",930,"990 €/kk","Realia Asuntovuokraus Pääkaupunkiseutu, Yksityisomistajien vuokra-asunnot","50 m²","kerrostalo"
4616,"ei sallittu",2002,"hyvä","250","3 huonetta",1480,"945 €/kk","Ovenia Oy, Helsinki ( Avara)","70,5 m²","kerrostalo"
4622,"ei sallittu",2002,"hyvä","250 €","Kaksio",1510,"885 €/kk","Lumo-kotikeskus PKS","50 m²","kerrostalo"
4630,"ei sallittu",2014,"hyvä","1kk vuokra","Kaksio",220,"1 195 €/kk","Realia Asuntovuokraus Pääkaupunkiseutu, Suuromistajien vuokra-asunnot","47 m²","kerrostalo"
4631,"ei sallittu",2016,"hyvä","1kk vuokra, yrityksille 3 kk","Kaksio",2230,"995 €/kk","Realia Asuntovuokraus Pääkaupunkiseutu, Suuromistajien vuokra-asunnot","45,5 m²","kerrostalo"
4632,"ei sallittu",1972,"hyvä","1kk vuokra, yrityksille 3 kk","Kaksio",2360,"851 €/kk","SATO Vuokraus / Helsinki","56 m²","kerrostalo"
4633,"ei tiedossa",2007,"hyvä","500","Kaksio",180,"1 285 €/kk","Realia Asuntovuokraus (co. Keskinäinen Eläkevakuutusyhtiö Ilmarinen)","59 m²","kerrostalo"
4639,"ei sallittu",1964,"hyvä","1600","Yksiö",280,"800 €/kk","Ilya Ishkov","35 m²","kerrostalo"
4644,"ei sallittu",1981,"hyvä","2 kk:n vuokra","Kaksio",2940,"800 €/kk","Realia Asuntovuokraus Pääkaupunkiseutu, Yksityisomistajien vuokra-asunnot","53 m²","paritalo"
4645,"ei sallittu",2000,"hyvä","2 kk:n vuokra","Kaksio",990,"1 154 €/kk","SATO Vuokraus / Helsinki","51 m²","kerrostalo"
4654,"ei sallittu",1987,"hyvä","1500","Yksiö",2650,"775 €/kk","Jussi Moisander","37 m²","kerrostalo"
4662,"ei sallittu",1974,"hyvä","250 €","Kaksio",2320,"748 €/kk","Lumo-kotikeskus PKS","47 m²","kerrostalo"
4663,"ei sallittu",2001,"hyvä","250 €","Kaksio",2600,"846 €/kk","Lumo-kotikeskus PKS","42,5 m²","kerrostalo"
4664,"ei sallittu",1961,"hyvä","250 €","Kaksio",910,"981 €/kk","SATO Vuokraus / Helsinki","56 m²","kerrostalo"
4665,"ei sallittu",1999,"hyvä","250 €","3 huonetta",980,"1 189 €/kk","SATO Vuokraus / Helsinki","66 m²","kerrostalo"
4678,"ei sallittu",1975,"hyvä","2900","Kaksio",2120,"1 450 €/kk","Celine Oy Ab LKV AFM","51 m²","rivitalo"
4679,"ei sallittu",2014,"ei luokiteltu","975.00","Kaksio",370,"975 €/kk","Newsec Asset Management  Oy","51 m²","kerrostalo"
4680,"ei sallittu",1978,"ei luokiteltu","1310.00","4 huonetta",370,"1 310 €/kk","Newsec Asset Management  Oy","90,5 m²","kerrostalo"
4681,"ei sallittu",2013,"ei luokiteltu","350.00","3 huonetta",1300,"1 209 €/kk","Newsec Asset Management  Oy","74 m²","kerrostalo"
4682,"ei sallittu",1969,"hyvä","350.00","3 huonetta",940,"1 319 €/kk","SATO Vuokraus / Helsinki","72 m²","kerrostalo"
4683,"ei sallittu",2011,"hyvä","250 €","Kaksio",1530,"928 €/kk","Lumo-kotikeskus PKS","45 m²","kerrostalo"
4702,"ei sallittu",1916,"hyvä","1228 €","Kaksio",100,"1 322 €/kk","SATO Vuokraus / Helsinki","55 m²","kerrostalo"
4703,"ei sallittu",1964,"hyvä","1228 €","Kaksio",370,"929 €/kk","SATO Vuokraus / Helsinki","50 m²","kerrostalo"
4704,"ei sallittu",2013,"hyvä","1228 €","Kaksio",380,"1 199 €/kk","SATO Vuokraus / Helsinki","50,5 m²","kerrostalo"
4705,"ei sallittu",2011,"hyvä","1228 €","Kaksio",380,"1 149 €/kk","Uusi vuokra-asunto luonnonläheisessä Talissa!","47,5 m²","kerrostalo"
4706,"ei sallittu",1985,"hyvä","1228 €","Kaksio",700,"985 €/kk","SATO Vuokraus / Helsinki","59,5 m²","kerrostalo"
4707,"ei tiedossa",1925,"ei luokiteltu","Ei vuokravakuutta","Yksiö",500,"860 €/kk","Stadin asunnot / Helsingin kaupunki","45 m²","kerrostalo"
4708,"ei sallittu",1975,"hyvä","Ei vuokravakuutta","Kaksio",2140,"889 €/kk","SATO Vuokraus / Helsinki","60,5 m²","kerrostalo"
4709,"ei sallittu",2014,"hyvä","Ei vuokravakuutta","3 huonetta",1300,"1 276 €/kk","SATO Vuokraus / Helsinki","77,5 m²","kerrostalo"
4710,"ei sallittu",2011,"hyvä","Ei vuokravakuutta","Kaksio",380,"1 049 €/kk","Uusi vuokra-asunto luonnonläheisessä Talissa!","43 m²","kerrostalo"
4714,"ei tiedossa",2001,"hyvä","1340","3 huonetta",2230,"1 340 €/kk","Asuntosäätiö","80 m²","kerrostalo"
4717,"ei sallittu",1938,"hyvä","2kk:n vuokra (1700 €)","Yksiö",500,"850 €/kk","Vuokratiedustelut / Tapio","38 m²","kerrostalo"
4722,"ei sallittu",2016,"hyvä","1470 €","Yksiö",1350,"735 €/kk","Tuomo Räsänen","32,5 m²","kerrostalo"
4723,"ei tiedossa",2017,"hyvä","1520.00","Kaksio",1700,"760 €/kk","Vuokraturva Oy LKV [A]","41 m²","kerrostalo"
4724,"ei tiedossa",2017,"hyvä","1390.00","Yksiö",1700,"695 €/kk","Vuokraturva Oy LKV [A]","28,5 m²","kerrostalo"
4725,"ei tiedossa",2017,"hyvä","1390.00","Yksiö",1700,"695 €/kk","Vuokraturva Oy LKV [A]","28,5 m²","kerrostalo"
4726,"ei tiedossa",2017,"hyvä","1390.00","Yksiö",1700,"695 €/kk","Vuokraturva Oy LKV [A]","28,5 m²","kerrostalo"
4727,"ei tiedossa",2017,"hyvä","1390.00","Yksiö",1700,"695 €/kk","Vuokraturva Oy LKV [A]","28,5 m²","kerrostalo"
4728,"ei sallittu",2005,"hyvä","1740 €","Kaksio",2320,"840 €/kk","RE/MAX Casa Alto | Casa Alto Oy LKV","43 m²","kerrostalo"
4739,"ei sallittu",2015,"hyvä","1kk","3 huonetta",560,"1 589 €/kk","Realia Asuntovuokraus Pääkaupunkiseutu, Suuromistajien vuokra-asunnot","80 m²","kerrostalo"
4740,"ei sallittu",1895,"hyvä","2kk","Kaksio",120,"1 650 €/kk","Jari Martikainen","52 m²","kerrostalo"
4754,"ei sallittu",2011,"hyvä","250 €","3 huonetta",2770,"1 098 €/kk","Lumo-kotikeskus PKS","71 m²","kerrostalo"
4757,"ei sallittu",1927,"hyvä","2 kk vuokraa vastaava summa","Kaksio",100,"1419,42 €/kk","Keva","59 m²","kerrostalo"
4761,"ei sallittu",1938,"hyvä","587.56","Yksiö",250,"960 €/kk","SATO Vuokraus / Helsinki","33 m²","kerrostalo"
4762,"ei sallittu",2012,"hyvä","587.56","Kaksio",380,"1 099 €/kk","Koti korttelin keskellä!","48 m²","kerrostalo"
4764,"ei sallittu",1969,"hyvä","250 €","4 huonetta",2700,"1 489 €/kk","Lumo-kotikeskus PKS","98 m²","kerrostalo"
4767,"ei sallittu",2012,"hyvä","1kk+hlö tai 2kk","Kaksio",990,"1 269 €/kk","Uusi koti Uutelan tuntumasta!","57,5 m²","kerrostalo"
4772,"ei tiedossa",2017,"hyvä","1290.00","Yksiö",1700,"645 €/kk","Vuokraturva Oy LKV [A]","28,5 m²","kerrostalo"
4777,"ei sallittu",2017,"hyvä","1000 €","Kaksio",2200,"955 €/kk","RE/MAX Sky | Kiinteistötoimisto Sky Oy","42 m²","kerrostalo"
4780,"ei sallittu",2001,"hyvä","250 €","3 huonetta",2600,"1 121 €/kk","Lumo-kotikeskus PKS","65 m²","kerrostalo"
4785,"ei sallittu",1998,"hyvä","0","Yksiö",1600,"792 €/kk","Kiinteistö Oy M2-Kodit","35,5 m²","kerrostalo"
4796,"ei sallittu",1971,"hyvä","1120.27","3 huonetta",2140,"1 089 €/kk","SATO Vuokraus / Helsinki","76 m²","kerrostalo"
4797,"ei sallittu",1965,"hyvä","1120.27","3 huonetta",2620,"1 115 €/kk","SATO Vuokraus / Helsinki","74,5 m²","kerrostalo"
4798,"ei sallittu",2009,"hyvä","5360","3 huonetta",100,"2 680 €/kk","Celine Oy Ab LKV AFM","78 m²","kerrostalo"
4799,"ei sallittu",1999,"ei luokiteltu","3 kk","Kaksio",2760,"840 €/kk","TA-Asunnot Oy, Espoo","43 m²","kerrostalo"
4800,"ei sallittu",1996,"ei luokiteltu","3 kk","3 huonetta",2750,"1 350 €/kk","TA-Asunnot Oy, Espoo","93 m²","paritalo"
4801,"ei sallittu",1996,"ei luokiteltu","3 kk","4 huonetta",2320,"1 500 €/kk","TA-Asunnot Oy, Espoo","90 m²","paritalo"
4804,"ei sallittu",2010,"hyvä","500€","Kaksio",2200,"880 €/kk","Realia Asuntovuokraus Pääkaupunkiseutu, Suuromistajien vuokra-asunnot","41,5 m²","kerrostalo"
4805,"ei sallittu",2010,"hyvä","500€","3 huonetta",2200,"1 215 €/kk","Realia Asuntovuokraus Pääkaupunkiseutu, Suuromistajien vuokra-asunnot","67 m²","kerrostalo"
4808,"ei sallittu",1914,"hyvä","2670","Kaksio",100,"1 335 €/kk","Celine Oy Ab LKV AFM","36,5 m²","kerrostalo"
4809,"ei sallittu",1923,"hyvä","6000","5 +",100,"3 000 €/kk","Celine Oy Ab LKV AFM","169 m²","kerrostalo"
4813,"ei sallittu",1974,"hyvä","0","4 huonetta",730,"1 176 €/kk","Kiinteistö Oy M2-Kodit","85 m²","kerrostalo"
4814,"ei sallittu",1974,"hyvä","0","Kaksio",2280,"899 €/kk","Kiinteistö Oy M2-Kodit","59 m²","rivitalo"
